Barcode,SubSection,Artical,Size,Qty,MRP
77710021377,HS-SHIRT,H4269,4XL,1,1599
77710022258,FS-SHIRT,S-5600,3XL,1,2499
77710018632,FS-SHIRT,5302FC,3XL,1,2099
77710021352,HS-SHIRT,H4280,4XL,1,1499
77710025727,FS-SHIRT,3396,4XL,1,1599
2309DR6798,FS-SHIRT,9273FC,XL,1,2999
77710012928,FS-SHIRT,S-5600,3XL,1,2499
77710026002,FS-SHIRT,SHIRTS-1699,4XL,1,1799
2302DR5227,HS-SHIRT,HS9073,3XL,1,3199
77710021000,FS-SHIRT,3430,3XL,1,2199
77710006837,FS-SHIRT,S-5600,3XL,1,2499
190810135,FS-SHIRT,5780CK,3XL,1,2399
77710013106,FS-SHIRT,S5600,3XL,1,2499
2301DR1160,HS-SHIRT,HS9076,XL,1,4599
2301DR1125,HS-SHIRT,HS9076,L,1,4599
2301DR1242,HS-SHIRT,HS9077,XL,1,4499
2302DR3626,HS-SHIRT,HS9078,L,1,2999
2302DR3707,HS-SHIRT,HS9078,XL,1,2999
2302DR3610,HS-SHIRT,HS9078,M,1,2999
2302DR3716,HS-SHIRT,HS9078,XL,1,2999
2302DR3750,HS-SHIRT,HS9078,XXL,1,2999
2302DR3678,HS-SHIRT,HS9078,XL,1,2999
23034450,HS-SHIRT,HS9197,M,1,2999
2305DR4439,FS-SHIRT,8951FC,XL,1,2999
2307DR4773,FS-SHIRT,8862F,M,1,2999
2306DR4110,FS-SHIRT,8942FC,XL,1,2999
2306DR4078,FS-SHIRT,8942FC,M,1,2999
2306DR739,FS-SHIRT,8970FC,XXL,1,2999
2306DR4517,FS-SHIRT,8977FC,XXL,1,2999
2310DR5789,FS-SHIRT,9486FC,XXL,1,2999
2305DR4199,FS-SHIRT,8980FC,XL,1,2999
2304DR13005,FS-SHIRT,8939FC,L,1,2999
2209DR1552,FS-SHIRT,8748FC,L,1,2499
2209DR5862,FS-SHIRT,8701FC,XXL,1,2499
2201DR3483,FS-SHIRT,8705FC,L,1,2499
2201DR4299,FS-SHIRT,8802FC,XL,1,2899
2201DR4293,FS-SHIRT,8802FC,L,1,2899
2210DR3436,FS-SHIRT,8703FC,XXL,1,2499
2209DR1067,FS-SHIRT,8639FC,S,1,2499
2208DR11269,FS-SHIRT,8649FC,L,1,2599
2304DR13688,FS-SHIRT,8909FC,XL,1,2999
2310DR5937,FS-SHIRT,9488FC,L,1,2999
2304DR14509,FS-SHIRT,8948FC,XL,1,2999
2304DR14487,FS-SHIRT,8948FC,L,1,2999
2208DR11675,FS-SHIRT,8731FC,XXL,1,2599
2208DR11663,FS-SHIRT,8731FC,XL,1,2599
2208DR11668,FS-SHIRT,8731FC,XL,1,2599
2208DR11633,FS-SHIRT,8731FC,L,1,2599
2201DR3518,FS-SHIRT,8705FC,XXL,1,2499
2309DR7487,FS-SHIRT,9293FC,XXL,1,2999
2309DR7469,FS-SHIRT,9293FC,L,1,2999
